○ 통계표명 :,전국 및 시도별 치매유병현황,,,,,,
○ 수록기간 :,년 2015 ~ 2065,,,,,,
○ 출처1 :,치매유병현황: 중앙치매센터,,,,,,
○ 출처2 :,"노인인구수: 통계청(주민인구연앙인구, 2015-2018)
통계청(장래인구추계, 2019-2065)",,,,,,
○ 자료다운일자 :,2019-12-02 14:32,,,,,,
○ 통계표URL :,https://www.nid.or.kr/info/ub_2019.aspx?no=43406,,,,,,
2016,서울특별시,동작구,전체,70~74세,"14,591",565,3.87%
2016,서울특별시,동작구,전체,75~79세,"10,163","1,194",11.75%
2016,서울특별시,동작구,전체,80~84세,"5,649","1,179",20.87%
2016,서울특별시,동작구,전체,85세이상,"3,631","1,412",38.89%
2016,서울특별시,동작구,전체,60세이상,"76,001","4,740",6.24%
2016,서울특별시,동작구,전체,65세이상,"52,579","4,603",8.75%
2016,서울특별시,관악구,전체,65~69세,"23,792",328,1.38%
2016,서울특별시,관악구,전체,70~74세,"18,530",718,3.88%
2016,서울특별시,관악구,전체,75~79세,"12,103","1,409",11.64%
2016,서울특별시,관악구,전체,80~84세,"5,792","1,206",20.83%
2016,서울특별시,관악구,전체,85세이상,"3,586","1,377",38.39%
2016,서울특별시,관악구,전체,60세이상,"93,176","5,209",5.59%
2016,서울특별시,관악구,전체,65세이상,"63,803","5,038",7.90%
2016,서울특별시,서초구,전체,65~69세,"18,141",250,1.38%
2016,서울특별시,서초구,전체,70~74세,"13,144",513,3.90%
2016,서울특별시,서초구,전체,75~79세,"8,311",963,11.59%
2016,서울특별시,서초구,전체,80~84세,"4,797",997,20.79%
2016,서울특별시,서초구,전체,85세이상,"3,842","1,483",38.60%
2016,서울특별시,서초구,전체,60세이상,"72,223","4,346",6.02%
2016,서울특별시,서초구,전체,65세이상,"48,234","4,206",8.72%
2016,서울특별시,강남구,전체,65~69세,"22,494",311,1.38%
2016,서울특별시,강남구,전체,70~74세,"15,852",619,3.91%
2016,서울특별시,강남구,전체,75~79세,"10,001","1,163",11.63%
2016,서울특별시,강남구,전체,80~84세,"5,757","1,206",20.94%
2016,서울특별시,강남구,전체,85세이상,"4,762","1,820",38.22%
2016,서울특별시,강남구,전체,60세이상,"89,384","5,294",5.92%
2016,서울특별시,강남구,전체,65세이상,"58,865","5,119",8.70%
2016,서울특별시,송파구,전체,65~69세,"26,379",371,1.41%
2016,서울특별시,송파구,전체,70~74세,"17,928",700,3.90%
2016,서울특별시,송파구,전체,75~79세,"11,464","1,345",11.73%
2016,서울특별시,송파구,전체,80~84세,"6,883","1,450",21.06%
2016,서울특별시,송파구,전체,85세이상,"5,068","1,943",38.34%
2016,서울특별시,송파구,전체,60세이상,"106,927","6,045",5.65%
2016,서울특별시,송파구,전체,65세이상,"67,722","5,809",8.58%
2016,서울특별시,강동구,전체,65~69세,"19,969",281,1.41%
2016,서울특별시,강동구,전체,70~74세,"13,550",529,3.91%
2016,서울특별시,강동구,전체,75~79세,"8,599","1,010",11.74%
2016,서울특별시,강동구,전체,80~84세,"5,113","1,085",21.23%
2016,서울특별시,강동구,전체,85세이상,"3,976","1,504",37.81%
2016,서울특별시,강동구,전체,60세이상,"80,527","4,585",5.69%
2016,서울특별시,강동구,전체,65세이상,"51,207","4,409",8.61%
2016,부산광역시,부산광역시,전체,65~69세,"185,755","2,572",1.38%
2016,부산광역시,부산광역시,전체,70~74세,"138,600","5,339",3.85%
2016,부산광역시,부산광역시,전체,75~79세,"101,520","12,061",11.88%
2016,부산광역시,부산광역시,전체,80~84세,"56,223","11,872",21.12%
2016,부산광역시,부산광역시,전체,85세이상,"33,821","12,847",37.99%
2016,부산광역시,부산광역시,전체,60세이상,"767,267","46,203",6.02%
2016,부산광역시,부산광역시,전체,65세이상,"515,918","44,691",8.66%
2016,부산광역시,중구,전체,65~69세,"3,083",42,1.36%
2016,부산광역시,중구,전체,70~74세,"2,535",97,3.84%
2016,부산광역시,중구,전체,75~79세,"1,857",221,11.89%
2016,부산광역시,중구,전체,80~84세,960,202,21.09%
2016,부산광역시,중구,전체,85세이상,659,253,38.43%
2016,부산광역시,중구,전체,60세이상,"12,927",838,6.49%
2016,부산광역시,중구,전체,65세이상,"9,092",815,8.97%
2016,부산광역시,서구,전체,65~69세,"7,679",106,1.38%
2016,부산광역시,서구,전체,70~74세,"6,112",234,3.83%
2016,부산광역시,서구,전체,75~79세,"4,810",574,11.93%
2016,부산광역시,서구,전체,80~84세,"2,722",575,21.11%
2016,부산광역시,서구,전체,85세이상,"1,690",640,37.90%
2016,부산광역시,서구,전체,60세이상,"32,325","2,184",6.76%
2016,부산광역시,서구,전체,65세이상,"23,012","2,128",9.25%
2016,부산광역시,동구,전체,65~69세,"6,460",89,1.37%
2016,부산광역시,동구,전체,70~74세,"5,358",205,3.82%
2016,부산광역시,동구,전체,75~79세,"4,195",501,11.95%
2016,부산광역시,동구,전체,80~84세,"2,333",493,21.12%
2016,부산광역시,동구,전체,85세이상,"1,251",487,38.91%
2016,부산광역시,동구,전체,60세이상,"27,268","1,819",6.67%
2016,부산광역시,동구,전체,65세이상,"19,597","1,774",9.05%
2016,부산광역시,영도구,전체,65~69세,"8,971",124,1.38%
2016,부산광역시,영도구,전체,70~74세,"7,262",277,3.81%
2016,부산광역시,영도구,전체,75~79세,"5,454",653,11.97%
2016,부산광역시,영도구,전체,80~84세,"2,824",595,21.08%
2016,부산광역시,영도구,전체,85세이상,"1,691",634,37.49%
2016,부산광역시,영도구,전체,60세이상,"37,314","2,349",6.30%
2016,부산광역시,영도구,전체,65세이상,"26,201","2,282",8.71%
2016,부산광역시,부산진구,전체,65~69세,"20,426",282,1.38%
2016,부산광역시,부산진구,전체,70~74세,"15,736",604,3.84%
2016,부산광역시,부산진구,전체,75~79세,"11,954","1,423",11.91%
2016,부산광역시,부산진구,전체,80~84세,"6,387","1,344",21.04%
2016,부산광역시,부산진구,전체,85세이상,"3,587","1,367",38.12%
2016,부산광역시,부산진구,전체,60세이상,"85,390","5,185",6.07%
2016,부산광역시,부산진구,전체,65세이상,"58,089","5,021",8.64%
2016,부산광역시,동래구,전체,65~69세,"14,464",201,1.39%
2016,부산광역시,동래구,전체,70~74세,"10,351",401,3.87%
2016,부산광역시,동래구,전체,75~79세,"7,327",864,11.79%
2016,부산광역시,동래구,전체,80~84세,"4,092",860,21.02%
2016,부산광역시,동래구,전체,85세이상,"2,479",945,38.13%
2016,부산광역시,동래구,전체,60세이상,"58,523","3,388",5.79%
2016,부산광역시,동래구,전체,65세이상,"38,712","3,271",8.45%
2016,부산광역시,남구,전체,65~69세,"15,922",219,1.37%
2016,부산광역시,남구,전체,70~74세,"12,400",478,3.85%
2016,부산광역시,남구,전체,75~79세,"8,676","1,023",11.79%
2016,부산광역시,남구,전체,80~84세,"4,579",962,21.02%
2016,부산광역시,남구,전체,85세이상,"2,645","1,003",37.91%
2016,부산광역시,남구,전체,60세이상,"64,458","3,804",5.90%
2016,부산광역시,남구,전체,65세이상,"44,221","3,684",8.33%
2016,부산광역시,북구,전체,65~69세,"13,849",193,1.40%
2016,부산광역시,북구,전체,70~74세,"9,787",377,3.85%
2016,부산광역시,북구,전체,75~79세,"7,048",841,11.94%
2016,부산광역시,북구,전체,80~84세,"4,064",868,21.36%
2016,부산광역시,북구,전체,85세이상,"2,354",883,37.50%
2016,부산광역시,북구,전체,60세이상,"57,811","3,291",5.69%
2016,부산광역시,북구,전체,65세이상,"37,102","3,162",8.52%
2016,부산광역시,해운대구,전체,65~69세,"19,256",265,1.38%
2016,부산광역시,해운대구,전체,70~74세,"14,482",555,3.83%
2016,부산광역시,해운대구,전체,75~79세,"10,977","1,308",11.92%
2016,부산광역시,해운대구,전체,80~84세,"6,359","1,343",21.11%
2016,부산광역시,해운대구,전체,85세이상,"3,832","1,464",38.20%
2016,부산광역시,해운대구,전체,60세이상,"81,881","5,097",6.23%
2016,부산광역시,해운대구,전체,65세이상,"54,904","4,935",8.99%
2016,부산광역시,사하구,전체,65~69세,"16,806",234,1.39%
2016,부산광역시,사하구,전체,70~74세,"11,998",464,3.87%
2016,부산광역시,사하구,전체,75~79세,"8,543","1,018",11.91%
2016,부산광역시,사하구,전체,80~84세,"4,613",977,21.18%
2016,부산광역시,사하구,전체,85세이상,"2,932","1,106",37.72%
2016,부산광역시,사하구,전체,60세이상,"68,813","3,946",5.74%
2016,부산광역시,사하구,전체,65세이상,"44,892","3,799",8.46%
2016,부산광역시,금정구,전체,65~69세,"13,595",189,1.39%
2016,부산광역시,금정구,전체,70~74세,"10,106",391,3.87%
2016,부산광역시,금정구,전체,75~79세,"7,342",870,11.85%
2016,부산광역시,금정구,전체,80~84세,"4,281",902,21.07%
2016,부산광역시,금정구,전체,85세이상,"2,590",988,38.15%
2016,부산광역시,금정구,전체,60세이상,"56,572","3,450",6.10%
2016,부산광역시,금정구,전체,65세이상,"37,913","3,340",8.81%
2016,부산광역시,강서구,전체,65~69세,"4,177",60,1.43%
2016,부산광역시,강서구,전체,70~74세,"3,007",117,3.89%
2016,부산광역시,강서구,전체,75~79세,"2,211",263,11.89%
2016,부산광역시,강서구,전체,80~84세,"1,315",279,21.23%
2016,부산광역시,강서구,전체,85세이상,937,350,37.42%
2016,부산광역시,강서구,전체,60세이상,"17,963","1,110",6.18%
2016,부산광역시,강서구,전체,65세이상,"11,645","1,069",9.18%
2016,부산광역시,연제구,전체,65~69세,"11,417",158,1.39%
2016,부산광역시,연제구,전체,70~74세,"8,356",323,3.87%
2016,부산광역시,연제구,전체,75~79세,"5,998",706,11.77%
2016,부산광역시,연제구,전체,80~84세,"3,232",680,21.04%
2016,부산광역시,연제구,전체,85세이상,"1,914",735,38.43%
2016,부산광역시,연제구,전체,60세이상,"46,361","2,694",5.81%
2016,부산광역시,연제구,전체,65세이상,"30,916","2,603",8.42%
2016,부산광역시,수영구,전체,65~69세,"10,956",150,1.37%
2016,부산광역시,수영구,전체,70~74세,"7,910",306,3.87%
2016,부산광역시,수영구,전체,75~79세,"5,696",670,11.76%
2016,부산광역시,수영구,전체,80~84세,"3,238",681,21.02%
2016,부산광역시,수영구,전체,85세이상,"2,101",811,38.62%
2016,부산광역시,수영구,전체,60세이상,"44,009","2,700",6.14%
2016,부산광역시,수영구,전체,65세이상,"29,901","2,618",8.76%
2016,부산광역시,사상구,전체,65~69세,"11,773",165,1.40%
2016,부산광역시,사상구,전체,70~74세,"7,867",304,3.87%
2016,부산광역시,사상구,전체,75~79세,"5,452",650,11.93%
2016,부산광역시,사상구,전체,80~84세,"2,829",604,21.35%
2016,부산광역시,사상구,전체,85세이상,"1,569",582,37.09%
2016,부산광역시,사상구,전체,60세이상,"46,505","2,410",5.18%
2016,부산광역시,사상구,전체,65세이상,"29,488","2,305",7.82%
2016,부산광역시,기장군,전체,65~69세,"6,926",96,1.39%
2016,부산광역시,기장군,전체,70~74세,"5,335",205,3.83%
2016,부산광역시,기장군,전체,75~79세,"3,983",476,11.96%
2016,부산광역시,기장군,전체,80~84세,"2,398",507,21.14%
2016,부산광역시,기장군,전체,85세이상,"1,595",599,37.59%
2016,부산광역시,기장군,전체,60세이상,"29,151","1,936",6.64%
2016,부산광역시,기장군,전체,65세이상,"20,236","1,883",9.31%
2016,대구광역시,대구광역시,전체,65~69세,"109,466","1,508",1.38%
2016,대구광역시,대구광역시,전체,70~74세,"83,134","3,174",3.82%
2016,대구광역시,대구광역시,전체,75~79세,"65,398","7,814",11.95%
2016,대구광역시,대구광역시,전체,80~84세,"38,947","8,219",21.10%
2016,대구광역시,대구광역시,전체,85세이상,"22,010","8,406",38.19%
2016,대구광역시,대구광역시,전체,60세이상,"468,809","30,017",6.40%
2016,대구광역시,대구광역시,전체,65세이상,"318,955","29,121",9.13%
2016,대구광역시,중구,전체,65~69세,"4,679",63,1.35%
2016,대구광역시,중구,전체,70~74세,"4,040",154,3.82%
2016,대구광역시,중구,전체,75~79세,"3,096",368,11.89%
2016,대구광역시,중구,전체,80~84세,"1,818",381,20.97%
2016,대구광역시,중구,전체,85세이상,"1,180",451,38.25%
2016,대구광역시,중구,전체,60세이상,"20,276","1,450",7.15%
2016,대구광역시,중구,전체,65세이상,"14,813","1,418",9.57%
2016,대구광역시,동구,전체,65~69세,"18,619",256,1.38%
2016,대구광역시,동구,전체,70~74세,"14,395",550,3.82%
2016,대구광역시,동구,전체,75~79세,"11,133","1,326",11.91%
2016,대구광역시,동구,전체,80~84세,"6,385","1,343",21.04%
2016,대구광역시,동구,전체,85세이상,"3,493","1,341",38.40%
2016,대구광역시,동구,전체,60세이상,"78,270","4,959",6.34%
2016,대구광역시,동구,전체,65세이상,"54,024","4,816",8.91%
2016,대구광역시,서구,전체,65~69세,"11,686",162,1.38%
2016,대구광역시,서구,전체,70~74세,"8,690",333,3.83%
2016,대구광역시,서구,전체,75~79세,"6,408",765,11.94%
2016,대구광역시,서구,전체,80~84세,"3,451",730,21.16%
2016,대구광역시,서구,전체,85세이상,"1,792",671,37.46%
2016,대구광역시,서구,전체,60세이상,"47,954","2,753",5.74%
2016,대구광역시,서구,전체,65세이상,"32,026","2,660",8.31%
2016,대구광역시,남구,전체,65~69세,"9,494",129,1.36%
2016,대구광역시,남구,전체,70~74세,"7,608",290,3.81%
2016,대구광역시,남구,전체,75~79세,"6,119",730,11.94%
2016,대구광역시,남구,전체,80~84세,"3,783",793,20.96%
2016,대구광역시,남구,전체,85세이상,"2,132",822,38.54%
2016,대구광역시,남구,전체,60세이상,"41,200","2,834",6.88%
2016,대구광역시,남구,전체,65세이상,"29,136","2,764",9.49%
2016,대구광역시,북구,전체,65~69세,"17,190",236,1.37%
2016,대구광역시,북구,전체,70~74세,"13,146",501,3.81%
2016,대구광역시,북구,전체,75~79세,"10,319","1,232",11.94%
2016,대구광역시,북구,전체,80~84세,"5,825","1,232",21.15%
2016,대구광역시,북구,전체,85세이상,"3,161","1,195",37.81%
2016,대구광역시,북구,전체,60세이상,"73,086","4,538",6.21%
2016,대구광역시,북구,전체,65세이상,"49,641","4,396",8.86%
2016,대구광역시,수성구,전체,65~69세,"17,930",246,1.37%
2016,대구광역시,수성구,전체,70~74세,"13,998",535,3.82%
2016,대구광역시,수성구,전체,75~79세,"11,329","1,349",11.91%
2016,대구광역시,수성구,전체,80~84세,"7,379","1,554",21.06%
2016,대구광역시,수성구,전체,85세이상,"4,383","1,693",38.62%
2016,대구광역시,수성구,전체,60세이상,"79,630","5,524",6.94%
2016,대구광역시,수성구,전체,65세이상,"55,018","5,377",9.77%
2016,대구광역시,달서구,전체,65~69세,"22,083",307,1.39%
2016,대구광역시,달서구,전체,70~74세,"15,543",594,3.82%
2016,대구광역시,달서구,전체,75~79세,"12,199","1,464",12%
2016,대구광역시,달서구,전체,80~84세,"7,318","1,551",21.20%
2016,대구광역시,달서구,전체,85세이상,"4,108","1,567",38.15%
2016,대구광역시,달서구,전체,60세이상,"94,476","5,685",6.02%
2016,대구광역시,달서구,전체,65세이상,"61,251","5,483",8.95%
2016,대구광역시,달성군,전체,65~69세,"7,787",109,1.40%
2016,대구광역시,달성군,전체,70~74세,"5,716",218,3.82%
2016,대구광역시,달성군,전체,75~79세,"4,796",580,12.09%
2016,대구광역시,달성군,전체,80~84세,"2,989",634,21.21%
2016,대구광역시,달성군,전체,85세이상,"1,762",666,37.82%
2016,대구광역시,달성군,전체,60세이상,"33,919","2,275",6.71%
2016,대구광역시,달성군,전체,65세이상,"23,049","2,207",9.58%
2016,인천광역시,인천광역시,전체,65~69세,"106,573","1,488",1.40%
2016,인천광역시,인천광역시,전체,70~74세,"81,896","3,148",3.84%
2016,인천광역시,인천광역시,전체,75~79세,"61,664","7,361",11.94%
2016,인천광역시,인천광역시,전체,80~84세,"38,135","8,077",21.18%
2016,인천광역시,인천광역시,전체,85세이상,"26,094","9,975",38.23%
2016,인천광역시,인천광역시,전체,60세이상,"469,492","31,009",6.60%
2016,인천광역시,인천광역시,전체,65세이상,"314,361","30,049",9.56%
2016,인천광역시,중구,전체,65~69세,"5,176",72,1.39%
2016,인천광역시,중구,전체,70~74세,"4,132",160,3.87%
2016,인천광역시,중구,전체,75~79세,"2,911",344,11.83%
2016,인천광역시,중구,전체,80~84세,"1,727",364,21.08%
2016,인천광역시,중구,전체,85세이상,"1,245",481,38.67%
2016,인천광역시,중구,전체,60세이상,"21,912","1,463",6.68%
2016,인천광역시,중구,전체,65세이상,"15,191","1,421",9.36%
2016,인천광역시,동구,전체,65~69세,"3,935",54,1.37%
2016,인천광역시,동구,전체,70~74세,"3,357",129,3.84%
2016,인천광역시,동구,전체,75~79세,"2,481",295,11.89%
2016,인천광역시,동구,전체,80~84세,"1,458",311,21.36%
2016,인천광역시,동구,전체,85세이상,976,379,38.82%
2016,인천광역시,동구,전체,60세이상,"17,098","1,198",7%
2016,인천광역시,동구,전체,65세이상,"12,205","1,168",9.57%
2016,인천광역시,남구,전체,65~69세,"19,031",264,1.39%
2016,인천광역시,남구,전체,70~74세,"15,075",581,3.85%
2016,인천광역시,남구,전체,75~79세,"10,936","1,296",11.86%
2016,인천광역시,남구,전체,80~84세,"6,195","1,307",21.10%
2016,인천광역시,남구,전체,85세이상,"4,207","1,616",38.42%
2016,인천광역시,남구,전체,60세이상,"80,807","5,217",6.46%
2016,인천광역시,남구,전체,65세이상,"55,443","5,065",9.14%
2016,인천광역시,연수구,전체,65~69세,"8,432",117,1.39%
2016,인천광역시,연수구,전체,70~74세,"6,454",248,3.84%
2016,인천광역시,연수구,전체,75~79세,"5,144",618,12.02%
2016,인천광역시,연수구,전체,80~84세,"3,438",733,21.32%
2016,인천광역시,연수구,전체,85세이상,"2,516",959,38.12%
2016,인천광역시,연수구,전체,60세이상,"39,812","2,765",6.94%
2016,인천광역시,연수구,전체,65세이상,"25,983","2,675",10.30%
2016,인천광역시,남동구,전체,65~69세,"18,608",260,1.40%
2016,인천광역시,남동구,전체,70~74세,"13,729",527,3.84%
2016,인천광역시,남동구,전체,75~79세,"9,896","1,181",11.94%
2016,인천광역시,남동구,전체,80~84세,"5,908","1,254",21.23%
2016,인천광역시,남동구,전체,85세이상,"4,194","1,594",38%
2016,인천광역시,남동구,전체,60세이상,"79,987","4,985",6.23%
2016,인천광역시,남동구,전체,65세이상,"52,334","4,816",9.20%
2016,인천광역시,부평구,전체,65~69세,"20,309",284,1.40%
2016,인천광역시,부평구,전체,70~74세,"15,199",583,3.84%
2016,인천광역시,부평구,전체,75~79세,"11,633","1,397",12.01%
2016,인천광역시,부평구,전체,80~84세,"7,283","1,541",21.16%
2016,인천광역시,부평구,전체,85세이상,"4,754","1,815",38.18%
2016,인천광역시,부평구,전체,60세이상,"89,296","5,804",6.50%
2016,인천광역시,부평구,전체,65세이상,"59,177","5,620",9.50%
2016,인천광역시,계양구,전체,65~69세,"9,661",136,1.41%
2016,인천광역시,계양구,전체,70~74세,"7,335",280,3.81%
2016,인천광역시,계양구,전체,75~79세,"5,782",696,12.04%
2016,인천광역시,계양구,전체,80~84세,"3,683",784,21.30%
2016,인천광역시,계양구,전체,85세이상,"2,411",921,38.23%
2016,인천광역시,계양구,전체,60세이상,"44,847","2,920",6.51%
2016,인천광역시,계양구,전체,65세이상,"28,871","2,818",9.76%
2016,인천광역시,서구,전체,65~69세,"14,718",207,1.40%
2016,인천광역시,서구,전체,70~74세,"10,603",408,3.85%
2016,인천광역시,서구,전체,75~79세,"7,762",931,12%
2016,인천광역시,서구,전체,80~84세,"4,878","1,037",21.27%
2016,인천광역시,서구,전체,85세이상,"3,344","1,263",37.78%
2016,인천광역시,서구,전체,60세이상,"64,059","3,990",6.23%
2016,인천광역시,서구,전체,65세이상,"41,304","3,847",9.31%
2016,인천광역시,강화군,전체,65~69세,"5,335",75,1.40%
2016,인천광역시,강화군,전체,70~74세,"4,908",189,3.86%
2016,인천광역시,강화군,전체,75~79세,"4,249",498,11.73%
2016,인천광역시,강화군,전체,80~84세,"2,943",613,20.84%
2016,인천광역시,강화군,전체,85세이상,"1,915",745,38.93%
2016,인천광역시,강화군,전체,60세이상,"25,422","2,158",8.49%
2016,인천광역시,강화군,전체,65세이상,"19,349","2,121",10.96%
2016,인천광역시,옹진군,전체,65~69세,"1,371",19,1.41%
2016,인천광역시,옹진군,전체,70~74세,"1,106",43,3.88%
2016,인천광역시,옹진군,전체,75~79세,872,103,11.78%
2016,인천광역시,옹진군,전체,80~84세,624,131,21.05%
2016,인천광역시,옹진군,전체,85세이상,534,202,37.81%
2016,인천광역시,옹진군,전체,60세이상,"6,255",509,8.14%
2016,인천광역시,옹진군,전체,65세이상,"4,506",498,11.05%
2016,광주광역시,광주광역시,전체,65~69세,"57,449",792,1.38%
2016,광주광역시,광주광역시,전체,70~74세,"44,280","1,700",3.84%
2016,광주광역시,광주광역시,전체,75~79세,"33,101","3,947",11.92%
2016,광주광역시,광주광역시,전체,80~84세,"19,697","4,164",21.14%
2016,광주광역시,광주광역시,전체,85세이상,"13,356","5,081",38.04%
2016,광주광역시,광주광역시,전체,60세이상,"239,356","16,112",6.73%
2016,광주광역시,광주광역시,전체,65세이상,"167,882","15,683",9.34%
2016,광주광역시,동구,전체,65~69세,"6,072",83,1.37%
2016,광주광역시,동구,전체,70~74세,"5,119",197,3.85%
2016,광주광역시,동구,전체,75~79세,"3,947",461,11.69%
2016,광주광역시,동구,전체,80~84세,"2,306",480,20.81%
2016,광주광역시,동구,전체,85세이상,"1,541",603,39.13%
2016,광주광역시,동구,전체,60세이상,"25,783","1,864",7.23%
2016,광주광역시,동구,전체,65세이상,"18,983","1,824",9.61%
2016,광주광역시,서구,전체,65~69세,"11,824",163,1.38%
2016,광주광역시,서구,전체,70~74세,"9,028",347,3.84%
2016,광주광역시,서구,전체,75~79세,"6,613",787,11.91%
2016,광주광역시,서구,전체,80~84세,"3,968",836,21.08%
2016,광주광역시,서구,전체,85세이상,"2,708","1,030",38.04%
2016,광주광역시,서구,전체,60세이상,"49,197","3,254",6.61%
2016,광주광역시,서구,전체,65세이상,"34,140","3,164",9.27%
2016,광주광역시,남구,전체,65~69세,"10,774",148,1.37%
2016,광주광역시,남구,전체,70~74세,"8,251",318,3.86%
2016,광주광역시,남구,전체,75~79세,"6,111",726,11.88%
2016,광주광역시,남구,전체,80~84세,"3,612",763,21.11%
2016,광주광역시,남구,전체,85세이상,"2,472",945,38.23%
2016,광주광역시,남구,전체,60세이상,"44,211","2,976",6.73%
2016,광주광역시,남구,전체,65세이상,"31,219","2,900",9.29%
2016,광주광역시,북구,전체,65~69세,"18,481",257,1.39%
2016,광주광역시,북구,전체,70~74세,"13,742",528,3.84%
2016,광주광역시,북구,전체,75~79세,"10,122","1,206",11.92%
2016,광주광역시,북구,전체,80~84세,"5,909","1,250",21.15%
2016,광주광역시,북구,전체,85세이상,"4,021","1,526",37.95%
2016,광주광역시,북구,전체,60세이상,"75,653","4,907",6.49%
2016,광주광역시,북구,전체,65세이상,"52,274","4,766",9.12%
2016,광주광역시,광산구,전체,65~69세,"10,300",141,1.37%
2016,광주광역시,광산구,전체,70~74세,"8,141",310,3.81%
2016,광주광역시,광산구,전체,75~79세,"6,310",766,12.14%
2016,광주광역시,광산구,전체,80~84세,"3,902",835,21.40%
2016,광주광역시,광산구,전체,85세이상,"2,615",977,37.37%
2016,광주광역시,광산구,전체,60세이상,"44,513","3,110",6.99%
2016,광주광역시,광산구,전체,65세이상,"31,266","3,030",9.69%
2016,대전광역시,대전광역시,전체,65~69세,"56,577",788,1.39%
2016,대전광역시,대전광역시,전체,70~74세,"43,537","1,673",3.84%
2016,대전광역시,대전광역시,전체,75~79세,"32,952","3,917",11.89%
2016,대전광역시,대전광역시,전체,80~84세,"20,562","4,341",21.11%
2016,대전광역시,대전광역시,전체,85세이상,"13,364","5,138",38.45%
2016,대전광역시,대전광역시,전체,60세이상,"248,053","16,353",6.59%
2016,대전광역시,대전광역시,전체,65세이상,"166,990","15,858",9.50%
2016,대전광역시,동구,전체,65~69세,"11,571",160,1.38%
2016,대전광역시,동구,전체,70~74세,"9,515",366,3.85%
2016,대전광역시,동구,전체,75~79세,"7,067",842,11.92%
2016,대전광역시,동구,전체,80~84세,"4,207",885,21.04%
2016,대전광역시,동구,전체,85세이상,"2,586","1,003",38.77%
2016,대전광역시,동구,전체,60세이상,"50,108","3,348",6.68%
2016,대전광역시,동구,전체,65세이상,"34,944","3,256",9.32%
2016,대전광역시,중구,전체,65~69세,"12,540",174,1.38%
2016,대전광역시,중구,전체,70~74세,"9,969",383,3.84%
2016,대전광역시,중구,전체,75~79세,"7,543",891,11.81%
2016,대전광역시,중구,전체,80~84세,"4,578",960,20.97%
2016,대전광역시,중구,전체,85세이상,"2,929","1,134",38.73%
2016,대전광역시,중구,전체,60세이상,"53,707","3,637",6.77%
2016,대전광역시,중구,전체,65세이상,"37,558","3,542",9.43%
2016,대전광역시,서구,전체,65~69세,"16,625",232,1.40%
2016,대전광역시,서구,전체,70~74세,"12,153",468,3.85%
2016,대전광역시,서구,전체,75~79세,"9,177","1,090",11.88%
2016,대전광역시,서구,전체,80~84세,"5,864","1,240",21.14%
2016,대전광역시,서구,전체,85세이상,"3,908","1,495",38.25%
2016,대전광역시,서구,전체,60세이상,"72,545","4,677",6.45%
2016,대전광역시,서구,전체,65세이상,"47,727","4,525",9.48%
2016,대전광역시,유성구,전체,65~69세,"8,256",116,1.41%
2016,대전광역시,유성구,전체,70~74세,"6,013",230,3.83%
2016,대전광역시,유성구,전체,75~79세,"4,770",571,11.97%
2016,대전광역시,유성구,전체,80~84세,"3,235",690,21.32%
2016,대전광역시,유성구,전체,85세이상,"2,335",892,38.20%
2016,대전광역시,유성구,전체,60세이상,"38,473","2,586",6.72%
2016,대전광역시,유성구,전체,65세이상,"24,609","2,499",10.15%
2016,대전광역시,대덕구,전체,65~69세,"7,585",106,1.40%
2016,대전광역시,대덕구,전체,70~74세,"5,888",226,3.84%
2016,대전광역시,대덕구,전체,75~79세,"4,395",523,11.90%
2016,대전광역시,대덕구,전체,80~84세,"2,680",567,21.15%
2016,대전광역시,대덕구,전체,85세이상,"1,606",615,38.30%
2016,대전광역시,대덕구,전체,60세이상,"33,221","2,105",6.34%
2016,대전광역시,대덕구,전체,65세이상,"22,153","2,037",9.19%
2016,울산광역시,울산광역시,전체,65~69세,"40,213",569,1.42%
2016,울산광역시,울산광역시,전체,70~74세,"27,059","1,045",3.86%
2016,울산광역시,울산광역시,전체,75~79세,"19,229","2,297",11.94%
2016,울산광역시,울산광역시,전체,80~84세,"11,338","2,417",21.32%
2016,울산광역시,울산광역시,전체,85세이상,"7,197","2,672",37.12%
2016,울산광역시,울산광역시,전체,60세이상,"168,671","9,400",5.57%
2016,울산광역시,울산광역시,전체,65세이상,"105,034","9,000",8.57%
2016,울산광역시,중구,전체,65~69세,"9,757",137,1.41%
2016,울산광역시,중구,전체,70~74세,"6,704",258,3.86%
2016,울산광역시,중구,전체,75~79세,"4,614",549,11.89%
2016,울산광역시,중구,전체,80~84세,"2,520",533,21.17%
2016,울산광역시,중구,전체,85세이상,"1,475",547,37.10%
2016,울산광역시,중구,전체,60세이상,"40,063","2,116",5.28%
2016,울산광역시,중구,전체,65세이상,"25,069","2,025",8.08%
2016,울산광역시,남구,전체,65~69세,"11,634",165,1.42%
2016,울산광역시,남구,전체,70~74세,"7,365",285,3.87%
2016,울산광역시,남구,전체,75~79세,"5,014",596,11.88%
2016,울산광역시,남구,전체,80~84세,"2,771",590,21.29%
2016,울산광역시,남구,전체,85세이상,"1,619",602,37.21%
2016,울산광역시,남구,전체,60세이상,"47,272","2,357",4.99%
2016,울산광역시,남구,전체,65세이상,"28,402","2,238",7.88%
2016,울산광역시,동구,전체,65~69세,"5,985",87,1.45%
2016,울산광역시,동구,전체,70~74세,"3,425",134,3.91%
